,ID,Label,Statement,Subject,Speaker,Speaker Job,State,Party Aff,Credit,True,Half true,Mostly true,Pants on fire,Context
3163,2485.json,barely-true,Independent groups behind ads attacking Democratic candidates are front groups for foreign-controlled companies.,"campaign-finance,abc-news-week",david-axelrod,,,democrat,2.0,1.0,6.0,7.0,0.0,"ABC's ""This Week"""
7547,1246.json,mostly-true,"Forty percent of gross domestic product is state, local, or federal money.","economy,federal-budget,pundits",cokie-roberts,"NPR contributor, ABC commentator",Maryland,journalist,1.0,0.0,2.0,2.0,0.0,appearance on This Week with George Stephanopoulos
119,10768.json,false,"About half of the presidents have been governors; half of them, senators.","congress,corrections-and-updates,elections,history,states",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,remarks in New Hampshire
7777,6942.json,half-true,"Says his administration put more border patrol agents on the U.S.-Mexico border than at any time in history, and the flow of undocumented workers across the border is actually lower than its been in 40 years.",immigration,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the second presidential debate
9828,11728.json,pants-fire,A Trump television ad shows Mexicans swarming over our southern border.,immigration,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a television ad
9761,6629.json,barely-true,Says House Republicans tried to change the definition of rape.,"abortion,crime,criminal-justice",gwen-moore,U.S. House member -- 4th District,Wisconsin,democrat,3.0,4.0,4.0,3.0,1.0,a speech at the Democratic National Convention
3924,11487.json,mostly-true,"The federal government owns about half of the West, yet it continues to acquire more land.","environment,federal-budget",jeb-bush,,Florida,republican,17.0,5.0,17.0,24.0,2.0,a post on his website
2838,7444.json,half-true,"In a budget deal struck in 2011 a trillion dollars of cuts went into effect immediately, and then a special committee was set up ... to get agreement on another $3 trillion of cuts.","debt,deficit,federal-budget",bill-nelson,,Florida,democrat,3.0,1.0,8.0,10.0,0.0,an interview on Central Florida News 13
6119,1993.json,true,"Georgia has the most restrictive ballot access laws in the country.	elections	mary-n			independent	0	0	0	0	0	a television interview
3666.json	false	On whether the federal debt limit should be raised	federal-budget	barack-obama	President	Illinois	democrat	70	71	160	163	9	an interview with George Stephanopoulos
4608.json	half-true	When George W. Bush was governor of Texas, the percentage uninsured went down. Under his successor, Rick Perry, its gone up.	children,health-care,new-hampshire-2012	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	a Republicam debate in Hanover, N.H.
11023.json	false	Says his book,The Art of the Deal,is the No. 1 selling business book of all time.	candidates-biography,job-accomplishments	donald-trump	President-Elect	New York	republican	63	114	51	37	61	remarks on CNN.
2096.json	half-true	Democrats in the 1930s wanted President Franklin Roosevelt to be more conservative.	history,pundits,abc-news-week	george-will	Columnist	Maryland	columnist	7	6	3	5	1	a roundtable discussion on ABC's This Week
12853.json	true	Says Danny Tarkanian wants to defund Planned Parenthood and would outlaw a womans right to choose, even in cases of rape or incest.	abortion	jacky-rosen		Nevada	democrat	0	0	0	0	0	a press release.
12670.json	pants-fire	Condemning violence against the police and urging support for the police is markedly absent from President Barack Obamas public remarks.	criminal-justice	william-johnson			organization	0	0	0	0	1	an interview on Fox News
1508.json	half-true	Florida leads the nation in elected officials charged with crimes.""",crime,dan-gelber,,Florida,democrat,2.0,2.0,1.0,3.0,0.0,his campaign blog
404,6517.json,half-true,I havent raised taxes in the time Ive been the governor of New Jersey.,taxes,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a news conference
3024,10518.json,barely-true,Says Supreme Court Justice Sonia Sotomayor has animmigrant family background.,"corrections-and-updates,immigration",laura-ingraham,Political commentator and radio talk show host,,none,2.0,5.0,1.0,0.0,1.0,"a broadcast of the ""Laura Ingraham Show"""
5868,11174.json,mostly-true,A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.,"candidates-biography,immigration",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,in comments at a GOP debate in Cleveland
3536,4322.json,false,Says Gov. Rick Scott is spending a quarter of a million of our tax dollars to robocall people.,state-budget,florida-voter,,Florida,none,0.0,1.0,0.0,1.0,0.0,"a robocall from the Pink Slip Rick website, played on MSNBC's ""Rachel Maddow"" show."
2981,9899.json,mostly-true,Says President Obama has never made a statement ... that he wanted a residual force left (in Iraq).,"foreign-policy,iraq,islam,terrorism",john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,an interview on CNN
1026,7033.json,half-true,Says Mitt Romneys plan makes catastrophic cuts to education.,"education,message-machine-2012",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a campaign ad
510,10469.json,mostly-true,Amazing fact: Senate has already voted on more amendments in 2015 than Reid allowed ALL YEAR last year.,"congress,congressional-rules",phil-kerpen,President of American Commitment and columnist,"Washington, D.C.",republican,0.0,0.0,0.0,1.0,0.0,a tweet
1037,11089.json,false,Says Scott Walkers bad budget includes: No weekend for workers.,"jobs,labor,unions",wisconsin-state-afl-cio,,,organization,1.0,1.0,0.0,0.0,0.0,a Facebook post
6043,2780.json,true,Animal abuse is often an indicative trait of future acts of violence against humans.,crime,robert-brown,state senator,Georgia,democrat,1.0,1.0,0.0,0.0,0.0,press release
10139,3159.json,barely-true,The New START treaty was passed despite significant concerns among some people in the State and Defense Departments.,"military,nuclear",bill-janis,lawyer,Virginia,republican,1.0,0.0,0.0,0.0,0.0,a floor speech in the House of Delegates.
7278,4497.json,mostly-true,The water quality in the ocean is perfect. Its been tested up and down every ocean shore in New Jersey.,"environment,water",chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a press conference at Point Pleasant Beach
9190,4531.json,half-true,Says his administration balanced two budgets with over $13 billion in deficits without raising taxes.,"deficit,state-budget",chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a speech at the Ronald Reagan Presidential Library
1705,7323.json,true,Odds of winning the Monopoly Millionaire instant win game are 1 in 3.27.,lottery,georgia-lottery,,,none,0.0,0.0,0.0,1.0,0.0,on a ticket
9283,6785.json,half-true,Says Ronald Reagan was behind in the polls in 1980 going into the debate with Jimmy Carter and then turned around 10 days later and won 40 states.,"elections,polls",chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a news conference
106,7848.json,half-true,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.","candidates-biography,economy,pensions,retirement,state-finances,wealth,workers",frank-caprio,R.I. General Treasurer,Rhode Island,democrat,0.0,0.0,4.0,0.0,0.0,"an appearance on ""10 News Conference"""
6081,6764.json,false,Says Barack Obama has added $16 trillion to the national debt.,"corrections-and-updates,debt",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,a tweet.
3603,7533.json,pants-fire,"Of every three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor.","federal-budget,poverty",michele-bachmann,Congresswoman,Minnesota,republican,8.0,22.0,6.0,4.0,16.0,a speech at the conservative CPAC conference
9528,9632.json,mostly-true,"There are fewerwars, there are fewerpeople dying in wars now than there have been in quite some time.","foreign-policy,history,military",stu-burguiere,"Writer, Glenn Beck Program",,none,0.0,0.0,0.0,1.0,0.0,comments on The Glenn Beck Radio Program
6831,11682.json,barely-true,Were practically not allowed to use coal any more. What do we do with our coal? We ship it to China and they spew it in the air.,"energy,environment",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"an interview on MSNBC's ""Morning Joe"""
