,title,text,subject,date
7402,"Trump win boosts coal, hits renewable stocks","MARRAKESH, Morocco/CHICAGO (Reuters) - The prospect of an abrupt shift in U.S. climate policy under President-elect Donald Trump lifted the shares of U.S. mining equipment giant Caterpillar Inc (CAT.N), North American railroads and other companies tied to fossil fuels, and slammed shares of renewable energy firms. Trump has called climate change a hoax, said he would rip up the Paris climate treaty and promised to revive the U.S. coal sector. His victory caused dismay at a climate policy conference in Morocco on Wednesday. In the United States, the prospect of a sharp turn in U.S. environmental policy helped boost Caterpillar shares by more than 7 percent on Wednesday on hopes that a Trump administration would reinvigorate coal mining and investment in infrastructure. A mining slump has depressed Caterpillar’s profits and forced rounds of layoffs.    The Obama administration has pursued emissions rules designed to discourage coal-fired power plants, while Trump has said he would revive the coal industry and roll back regulation. “There is bountiful evidence that free trade, tax reform, infrastructure investment and smart regulation are critically important to manufacturers’ success,” Caterpillar said in a statement.  Shares in farm and equipment maker Deere & Co (DE.N) and truck makers Paccar Inc (PCAR.O) and Navistar International Corp (NAV.N) also rose, as did oil stocks.  Railroads Norfolk Southern Corp (NSC.N) and Union Pacific Corp rose 3.3 percent and 4 percent respectively. U.S. railroads have suffered as coal shipments have declined.  “Obviously this is good news for fossil energy and coal in particularly,” said National Mining Association spokesperson Luke Popovich. “We will have a profound shift in policy. And hopefully spur development in low emission and higher efficiency technologies which make coal cleaner to use.”  Regulation and federal policies are not the only challenge for coal.  “A new administration may result in less regulatory pressure for utilities, the competition offered by natural gas doesn’t change,” said Michael Trevino, spokesman for No. 2 U.S. railroad BNSF, which is owned by Berkshire Hathaway Inc(BRKa.N).  Trump’s victory over Democrat Hillary Clinton cast a dark cloud over delegates attending a 200-nation meeting in Marrakesh being held from Nov. 7-18 to celebrate the start of the 2015 Paris Agreement to limit global warming last Friday.  Some delegates expressed concern that Trump could cause other nations to reconsider their position on global warming. Trump has said climate change was an invention by China and wants instead to promote jobs in the U.S. fossil fuel industry. “We will have a lot more hurdles,” said Ian Fry, head of the delegation of Tuvalu, a Pacific island state which fears rising sea levels, adding Trump’s victory could have a “domino effect on other nations”. The Paris Agreement allows all nations to set national targets to slow climate change and some could scale those back. There are no sanctions for non-compliance. Many nations vowed to push ahead despite Trump with the sweeping plan to phase out net global greenhouse gas emissions between 2050 and 2100 by shifting from coal and oil to cleaner energies such as wind or solar power. Still, Trump’s victory drove down renewable energy stocks. Shares in Vestas (VWS.CO), the world’s biggest wind turbine maker, were down 6.2 percent in mid-morning, while German peer Nordex (NDXG.DE) traded 6.6 percent lower. In the United States, Silicon Valley electric car maker Tesla Motors Inc(TSLA.O) sank 3.4 percent to its lowest price since February. Tesla benefits from federal tax breaks for electric vehicles and selling credits generated under a California electric vehicle policy. Other renewable shares were also hit. Spain’s Gamesa GAM.MC, which is being merged with Siemens (SIEGn.DE), and Portugal’s EDP Renovaveis (EDPR.LS) traded 2.4 and 5.2 percent lower, respectively. Stephanie Pfeifer, CEO of the Institutional Investors Group on Climate Change, a European forum for 128 investors with more than 13 trillion euros in assets, said changes towards greener growth were “irreversible”. “Renewables have already overtaken coal as a global power source, electric vehicles are the growth segment of the auto industry and jobs are being created in clean energy sectors faster than any other,” she said. ",politicsNews,"November 9, 2016 "
1421,Trump to receive multiple options on Iran nuclear deal: Tillerson,"WASHINGTON (Reuters) - President Donald Trump will be presented with multiple options regarding the future of the Iran nuclear deal ahead of an Oct. 15 deadline to certify whether Tehran is complying with the pact, Secretary of State Rex Tillerson said on Wednesday. Tillerson did not disclose details about the kinds of options he will present to Trump. He also declined to directly answer a question about whether he shared Defense Secretary Jim Mattis’ assessment to Congress on Tuesday that Iran was “fundamentally” in compliance with the accord. “We’ll have a recommendation for the president. We’re going to give him a couple of options of how to move forward to advance the important policy toward Iran,” Tillerson told reporters at the State Department. A collapse of the 2015 deal, which Trump has called “an embarrassment,” but which is supported by the other major powers that negotiated it with Iran, could trigger a regional arms race and stoke Middle East tensions. A senior U.S. official said last month that Trump was leaning toward not certifying that Iran is complying with the pact. Trump himself has said he already had made up his mind whether to keep the pact, but has declined to disclose his decision. If Trump declines to certify Iran’s compliance, U.S. congressional leaders would have 60 days to decide whether to reimpose sanctions on Tehran suspended under the accord. Unlike Mattis, who publicly suggested Trump should consider sticking with the agreement, Tillerson has been highly critical of the accord and said it must be changed. He has taken aim at the deal’s so-called sunset clauses, under which some of the restrictions on Iran’s nuclear program expire over time. Tillerson on Wednesday suggested that whatever path the United States chooses on the nuclear accord known as the Joint Comprehensive Plan of Action (JCPOA), it would only represent one component of America’s broader policy toward Iran. “The JCPOA represents only a small part of the many issues that we need to deal with when it comes to the Iranian relationship,” he said. “So it is an important part of that, but is not the only part. And I’ve said many times, we cannot let the Iranian relationship be defined solely by that nuclear agreement.” ",politicsNews,"October 4, 2017 "
1329,Turkey's Erdogan blames U.S. envoy for diplomatic crisis,"ANKARA (Reuters) - President Tayyip Erdogan blamed the U.S. ambassador to Turkey on Tuesday for a diplomatic crisis between the two countries and said Ankara no longer considered him Washington’s envoy. In a blunt and personal attack on outgoing Ambassador John Bass, Erdogan suggested Bass acted unilaterally in suspending visa services in Turkey after the arrest of a U.S. consulate worker, and said “agents” had infiltrated U.S. missions. The U.S. State Department defended Bass, saying he had the “full backing” of the U.S. government and his actions were coordinated with the State Department, White House and National Security Council. “Our ambassadors tend not to do things unilaterally,” State Department spokeswoman Heather Nauert told a briefing. “We have a very close coordination and cooperation with our ambassadors,” she added, saying Bass had done “a terrific job in Turkey.” The dispute has plunged already fragile relations between the two NATO allies to a new low after months of tension linked to the conflict in Syria, last year’s failed military coup in Turkey, and U.S. court cases against Turkish officials. The U.S. embassy said on Sunday night it was suspending visa services while it assessed Turkey’s commitment to the safety of its missions and its staff, a message reiterated in a video released by Bass late on Monday. “An ambassador in Ankara taking decisions and saying he is doing so in the name of his government is strange,” Erdogan said. “If our ambassador did this, we wouldn’t keep him there even a minute.” The embassy said allegations that the arrested employee had links to Fethullah Gulen, a U.S.-based Muslim cleric blamed by Ankara for orchestrating the failed coup against Erdogan last year, were baseless. Nauert said Turkey, which has arrested two local U.S. embassy staff members this year, summoned a third local staff member for questioning over the weekend, a “deeply disturbing” move. Some of those targeted were responsible for law enforcement coordination between the countries, she said. “Being able to have close security cooperation, especially with a NATO partner, is incredibly important,” Nauert said. “And when they start arresting, detaining our people, our people who are responsible for law enforcement coordination, that is a ... major concern of ours. And so that is why we took these steps.” But Erdogan said the arrest, and a police request to question a second consulate employee, showed “there is something cooking in the U.S. consulate in Istanbul ... How did these agents infiltrate the U.S. consulate?” He said Bass, who is due to leave the country within days to take up a posting in Afghanistan, had been making farewell visits to government offices. “But our ministers, parliament speaker and myself did not accept and will not accept his request because we do not see him as a representative of the United States,” Erdogan told a televised news conference during a visit to Belgrade. Prime Minister Binali Yildirim said the visa suspension had punished citizens of both countries, and accused Washington of taking an emotional and inappropriate step against an ally. “You are making your citizens and ours pay the price,” he said. “We call on the United States to be more reasonable. The issue must of course be resolved as soon as possible,” he said, describing U.S. behavior as “unbecoming” of an ally. In a speech in Ankara to ruling AK Party parliamentarians, Yildirim also defended Turkey’s decision to retaliate with its own visa suspension after the U.S. embassy announcement. “Turkey is not a tribal state, we will retaliate against what has been done in kind,” he said. ",politicsNews,"October 10, 2017 "
15370,Trump warns 'rogue regime' North Korea of grave danger,"BEIJING (Reuters) - U.S. President Donald Trump arrived in China on Wednesday seeking help to rein in North Korea, telling the reclusive state s leader he was putting his country in grave danger by developing nuclear weapons. Trump used some of his toughest language yet against North Korea in a wide-ranging address in Seoul that lodged specific accusations of chilling human rights abuses. He called on countries around the world to isolate Pyongyang by denying it  any form of support, supply or acceptance.   Do not underestimate us and do not try us,  Trump told North Korea as he wrapped up a visit to South Korea with a speech to the National Assembly before heading to Beijing, where he was making his first official visit. Trump painted a dystopian picture of the reclusive North, saying people were suffering in  gulags  and some bribed government officials to work as  slaves  overseas rather than live under the government at home. He offered no evidence to support those accusations. Trump s return to harsh, uncompromising language came a day after he appeared to dial back the bellicose rhetoric that had fueled fears across east Asia of the risk of military conflict. On Tuesday, Trump had even offered a diplomatic opening to Pyongyang to  make a deal.  He went mostly on the attack in Wednesday s speech but did promise a  path to a much better future  if North Korea stopped developing ballistic missiles and agreed to  complete, verifiable and total denuclearization    something Pyongyang has vowed never to do.  We will not allow American cities to be threatened with destruction. We will not be intimidated,  he told South Korean lawmakers.  And we will not let the worst atrocities in history be repeated here, on this ground we fought and died to secure.  The North defends its nuclear weapons and missile programs as a necessary defense against what it says are U.S. plans to invade. The United States, which has 28,500 troops in South Korea, a legacy of the 1950-53 Korean war, denies any such intention.      The world cannot tolerate the menace of a rogue regime that threatens it with nuclear devastation,  Trump said, speaking as three U.S. aircraft carrier groups sailed to the Western Pacific for exercises - a rare show of such U.S. naval force in the region.  STATE VISIT-PLUS  In Beijing, Trump and Chinese President Xi Jinping resumed their  bromance  struck in April at Trump s Mar-a-Lago resort in Florida, making small talk as they toured the Forbidden City - which was shut down to tourists - with their wives before taking in a Chinese opera performance. While the sprawling palace complex in the political and cultural heart of Beijing is a regular stop for visiting dignitaries, it is rare for a Chinese leader to act as a personal escort, confirmation of the  state visit-plus  treatment that China had promised for Trump.   Trump has threatened action over China s wide trade surplus with the United States and called on Beijing to do more to rein in ally and neighbor North Korea, but has expressed admiration for Xi and held off on imposing trade measures. During his two-day visit, Trump will ask China to abide by U.N. resolutions and cut financial links with North Korea, a senior White House official said on the plane from Seoul. He also plans to discuss with Xi the long-contentious trade imbalance, U.S. Commerce Secretary Wilbur Ross said at a ceremony with U.S. business leaders where $9 billion worth of deals were signed. The White House expects to announce deals in China this week worth more than $250 billion, Bloomberg reported, citing an administration official. Trump believes any talks with North Korea would require it to reduce threats, end provocations and move toward denuclearization, and that no deal can be achieved without denuclearization, the official added. Trump and Xi were scheduled to hold formal talks on Thursday. Before leaving for Beijing, Trump cited China as one of the countries that must fully enforce international sanctions against Pyongyang and downgrade diplomatic and commercial ties.  To those nations that choose to ignore this threat or, worse still, to enable it, the weight of this crisis is on your conscience,  he said. While Trump will try to convince Xi to squeeze North Korea further with steps such as limits on oil exports and financial transactions, it is not clear if Xi, who has just consolidated his power at a Communist Party congress, will agree to do more. China has repeatedly said its leverage over Pyongyang is exaggerated by the West and that it is already doing all it can to enforce sanctions. The Chinese Foreign Ministry said that China fully and strictly implements U.N. Security Council resolutions on North Korea, but will investigate if there have been any contraventions. During his speech in Seoul, Trump directed his words at North Korean leader Kim Jong Un.  The weapons that you are acquiring are not making you safer, they are putting your regime in grave danger,  he said.  Every step you take down this dark path increases the peril you face.  However Trump, whose strategy has stressed sanctions and military pressure instead of diplomacy, did not spell out any new approach. North Korea has made clear it has little interest in negotiations at least until it develops a nuclear-tipped missile capable of hitting the U.S. mainland, something U.S. intelligence officials say it may be just months away from achieving.  North Korea is a country ruled by a cult,  Trump said in a speech that was interrupted several times by applause and ended with a standing ovation.  He stopped short of repeating the derisive nickname  little Rocket Man  that he has used to describe the young North Korean leader. Kim, for his part, has called Trump  mentally deranged.  The speech came after Trump s attempt to make an unannounced visit to the heavily fortified border separating North and South Korea was aborted when dense fog prevented his helicopter from landing, officials said. A visit to the DMZ, despite his aides  earlier insistence he had no plans to go there, would have had the potential to further inflame tensions with North Korea. Arriving in Beijing on Wednesday, Trump and his wife Melania descended from a red-carpeted staircase rolled up to the main door of Air Force One. That was in contrast to a 2016 visit to China by his predecessor, Barack Obama, who was forced to exit his plane from a lower door in what was seen as a snub. And while in China, Trump will not be deterred from using Twitter, his favored form of communication, despite its being banned there, according to an administration official.  The president will tweet whatever he wants,  the official told reporters on Air Force One.  I m sure we ve got the gear aboard this airplane to make it happen.  ",worldnews,"November 8, 2017 "
12358,Canada says defense firms can now sell small arms to Ukraine,"OTTAWA (Reuters) - Canada said on Wednesday that defense contractors would be allowed to sell weapons such as automatic firearms and electric stun guns to Ukraine, a move the government in Kiev has long pressed for. The Canadian foreign ministry said in a statement it would closely examine every bid and noted that  exportation of these items is limited.   Ukraine, which says it needs the weapons to help counter Russian-backed separatists who have occupied eastern parts of the country, also wants to buy arms from the United States. Washington though has yet to make a decision.  In September, Russian President Vladimir Putin warned the United States not to supply Ukraine with defensive weapons. A war in eastern Ukraine between pro-Russian separatists and Ukrainian government forces has killed more than 10,000 people in three years. Around 200 Canadian troops are stationed in Ukraine to help train local soldiers. The mission is due to end in March 2019. Canadian Foreign Minister Chrystia Freeland is a strong critic of Russia, in particular its decision in 2014 to annex the Ukrainian region of Crimea. ",worldnews,"December 13, 2017 "
3006,U.S. judge halts deportation of Iraqis nationwide,"DETROIT (Reuters) - A federal judge halted late on Monday the deportation of all Iraqi nationals detained during immigration sweeps across the United States this month until at least July 10, expanding a stay he imposed last week. The stay had initially only protected 114 detainees from the Detroit area. U.S. District Judge Mark Goldsmith sided with lawyers from the American Civil Liberties Union who filed an amended complaint on Saturday seeking to prevent Immigration and Customs Enforcement (ICE) from deporting Iraqis from anywhere in the United States.  The ACLU argued those being deported could face persecution, torture, or death because many were Chaldean Catholics, Sunni Muslims, or Iraqi Kurds and that the groups were recognized as targets of ill-treatment in Iraq. Goldsmith agreed with the ACLU on the grave consequences deportees may face, writing in his seven-page opinion and order that: “Such harm far outweighs any interest the Government may have in proceeding with the removals immediately.” On Thursday, Goldsmith ordered a stay in the Michigan Iraqis’ deportation for at least two weeks while he decided whether he had jurisdiction over the merits of deporting immigrants who could face physical danger in their countries of origin. He expanded his stay on Monday to the broader class of Iraqi nationals nationwide, saying it applies to the removal of all Iraqi nationals in the United States with final orders of removal who have been or will be detained by ICE. There are 1,444 Iraqi nationals who have final deportation orders against them, although only 199 of them were detained as part of a nationwide sweep by immigration authorities, federal prosecutors said in court on Monday. Those detained had convictions for serious crimes, including rape and kidnapping, ICE said. Goldsmith also said his stays were designed to give detainees time to find legal representation to appeal against their deportation orders, and to give him time to weigh the question of his jurisdiction. Daniel Lemisch, acting U.S. Attorney for the Eastern District of Michigan, called the opinion “highly extraordinary.” “But it’s a very extraordinary circumstance because of the on-the-ground situation in Iraq,” Lemisch said by phone, referring to the danger faced by possible deportees.  ACLU attorney Lee Gelernt praised the ruling for saying that “the lives of these individuals should not depend on what part of the United States they reside and whether they could find a lawyer to file a federal court action.” Goldsmith’s order came the same day the U.S. Supreme Court handed a victory to President Donald Trump by reviving parts of a travel ban on people from six Muslim-majority countries. The roundup in Michigan followed Iraq’s agreement to accept deportees as part of a deal that removed the country from Trump’s revised temporary travel ban. Some of those affected came to the United States as children and committed their crimes decades ago, but they had been allowed to stay because Iraq previously declined to issue travel documents for them. That changed after the two governments came to the agreement in March. ",politicsNews,"June 27, 2017 "
1916,"Trump to scrap protection for 'Dreamers,' give Congress six months to fix","WASHINGTON (Reuters) - President Donald Trump has decided to scrap a program shielding from deportation immigrants who came to the United States illegally as children but will give Congress six months to craft legislation to replace it, sources familiar with the situation said. The president decided to delay enforcement of his decision to end the Deferred Action for Childhood Arrivals, or DACA, the two sources said on Sunday. One source cautioned that the president could change his mind. The decision to give Congress half a year to come up with a an alternative, first reported by Politico, represents a  compromise of sorts after top Republicans and business leaders  asked Trump to keep the program. DACA, an Obama administration policy, protects nearly 800,000 young men and women often called “Dreamers” from deportation and allows them to work legally.  Dreamers are a fraction of the estimated 11 million illegal immigrants in the United States, most of them Hispanic. Trump as a candidate promised to deport all of them, but many Americans have rallied to support the young adults who have spent large parts of their lives in the United States. The decision, to be announced on Tuesday, will seek to placate both sides in the immigration debate at a time when the president is also grappling with North Korea’s nuclear program and Houston’s recovery from Hurricane Harvey. As a candidate, Trump pledged to immediately scrap the program but he ran into stiff opposition. House of Representatives Speaker Paul Ryan urged Trump on Friday not to rescind the program and was joined by Senator Orrin Hatch, also a Republican. Representative Ileana Ros-Lehtinen, a Cuban-American Republican from Florida tweeted her dismay with the decision to scrap DACA: “After teasing #Dreamers for months with talk of his ‘great heart,’ @POTUS slams door on them. Some ‘heart’.” That said, Trump’s base will likely be far from happy about the president’s decision to leave open the option of a fix. Representative Steve King, a hawk on immigration and Iowa Republican, tweeted his opposition to the plan on Sunday night. Democrats, like Senator Al Franken of Minnesota, also wanted the program to continue. Franken called the reported decision a “disgrace.” Nancy Pelosi, the top House Democrat, last week asked Ryan to meet with Democratic lawmakers to discuss a “comprehensive legislative solution.” Leading business figures defended the Dreamers, including  Microsoft chief executive Satya Nadella and Facebook Inc (FB.O) CEO Mark Zuckerberg, who signed a letter to the president outlining the economic contribution of Dreamers. Prior to the news of Trump’s action, Apple Inc (AAPL.O) CEO Tim Cook tweeted, “250 of my Apple coworkers are #Dreamers. I stand with them.”  But U.S. Treasury Secretary Steven Mnuchin downplayed those warnings on Sunday, telling Fox News Sunday he was “less concerned about the economic impact.” Most of the Dreamers came from Mexico and elsewhere in Latin America. More than 200,000 live in California, while 100,000 are in Texas. New York, Illinois and Florida also have large numbers. Congress under presidents of both parties has been unable to pass comprehensive immigration reform. What to do about Dreamers has been actively debated within the White House and Trump administration. One senior administration official described the debate as a “tug of war” between factions. DACA supporters argue that the people it protects grew up and are U.S. educated and integrated into American society, with little connection to the countries in which they are citizens. Opponents of the program argue that illegal immigrants take jobs from U.S. citizens. ",politicsNews,"September 4, 2017 "
21325,Prosecutors target Guatemala president over campaign financing,"GUATEMALA CITY (Reuters) - Guatemala s attorney general and a U.N-backed anti-graft body on Friday said they are seeking to investigate President Jimmy Morales over suspected illicit campaign financing. Ivan Velasquez, head of the International Commission Against Impunity in Guatemala (CICIG), told reporters there was evidence that Morales broke the law when he was head of the conservative National Convergence Front (FCN), and that prosecutors had filed a motion to investigate him.  In order to advance the investigation, it s necessary to remove his immunity,  said Velasquez, who on Thursday unveiled a probe into all political parties over suspected wrongdoing related to financing for the 2015 election campaign. To remove Morales  immunity, prosecutors need the go-ahead from both the Supreme Court and a two-thirds majority in Congress. He could then be formally investigated and charged. In a statement, the president s office said,  The President of the Republic has been and is respectful of the law and due process, and thus is confident in the objectivity of justice.   Morales took office in 2016, winning the election on an anti-corruption ticket after the CICIG helped to bring down his predecessor over a multi-million-dollar corruption scandal. Earlier this week, two government officials told Reuters that Morales would ask U.N. Secretary-General Antonio Guterres to replace Velasquez, who is already investigating a graft case that involves the president s elder brother and one of his sons.  He better have some really valid reasons ... to seek my removal from the post,  said Velasquez, adding he would not resign. Morales met with Guterres in New York on Friday. The secretary-general reiterated his backing for Velasquez and the CICIG s work at the meeting, with Guterres citing  the Organisation s continuing support to the mandate of the International Commission Against Impunity in Guatemala,  the United Nations said in a statement. The president s office, in its statement, said it was worried about  manipulation  of information about the visit. The statement said Morales told Guterres it was important the CICIG stick to its original mandate.  Guatemala s foreign minister, Carlos Morales, who is not related to the president, told Reuters that there had been no request made on Friday to remove Velasquez from office. In 2015, the CICIG was instrumental in removing former President Otto Perez from office after identifying him as a key player in an alleged multi-million-dollar corruption racket. Perez is now in prison on trial with his former vice president. ",worldnews,"August 25, 2017 "
8840,U.S. lawmakers blast Obama administration over ex-Guantanamo prisoner,"WASHINGTON (Reuters) - U.S. lawmakers sharply criticized President Barack Obama’s administration on Thursday over the disappearance of a former Guantanamo detainee, calling for an end to transfers from the prison because of fears former prisoners could launch attacks on Americans. They also raised concerns about reports that Jihad Diyab, a Syrian among six detainees resettled in Uruguay in December 2014, has disappeared and may now be in Brazil. Obama is working to close the U.S. military prison at Guantanamo Bay, where terrorism suspects have been held for 15 years, by transferring detainees not considered security threats to foreign countries. Republican lawmakers worry that the Obama administration is so eager to close the prison before he leaves office in January that it is sending detainees to countries that cannot ensure they will not return to the battlefield by joining militant groups that target Americans and U.S. allies. “You’re talking about detainees who have every intent of killing American families,” Republican Representative Joe Wilson of South Carolina said at a House of Representatives Foreign Affairs Committee hearing. The administration has considered sending Guantanamo detainees to a prison in South Carolina. The New York Times reported that Diyab said last month he was going on a religious retreat that would last into next week, and would be unreachable by telephone or email. Since then, some Uruguayan officials said they lost track of him and suggested he may have traveled to Brazil, the newspaper reported. “Many countries just aren’t up to the job,” said Republican Representative Ed Royce, the committee’s chairman. “... Yet the administration has sent Guantanamo terrorists to these countries anyway.” Republican and some Democratic committee members sharply questioned Lee Wolosky, the State Department’s special envoy for closing the Guantanamo detention center, and Paul Lewis, his Pentagon counterpart. Representative Jeff Duncan, another South Carolina Republican, said Diyab, charged with forging passports for al Qaeda, could pose a threat to the upcoming Olympics in Rio de Janeiro, if he were indeed at large in that country. The committee’s ranking Democrat, Representative Eliot Engel, who backs the closure of the detention center in Cuba, said it was important to keep the issue in perspective. “Under no circumstances, in my opinion, is the Obama administration simply opening the gate and releasing dangerous terrorists onto the street,” Engel said.   Lewis and Wolosky said only 5 percent of detainees transferred since Obama became president have been confirmed to have returned to the battlefield. The percentage was higher for the over 500 released under President George W. Bush. There are currently 79 detainees at Guantanamo, of whom 29 are eligible for transfer. Wolosky acknowledged Diyab had been “difficult” from the time he was transferred to Uruguay. According to the Times, Diyab’s friends and supporters say he is off praying and will re-emerge soon. Obama has been trying to make good on his 2009 pledge to close the facility. But Congress has passed laws making it more difficult to do so, chiefly by barring transfers to U.S. prisons. Lawmakers are unlikely to lift those restrictions, especially in an election year. They have proposed even tighter controls on transfers in a fiscal 2017 defense policy bill, one reason Obama has threatened a veto. Guantanamo opponents say holding prisoners for years without charge or trial goes against fundamental U.S. values and since they are Muslims, is a recruiting tool for Islamist militants. Many Republicans insist the prison is an essential tool for handling suspects who threaten the United States. Donald Trump, the party’s presumptive 2016 presidential nominee, has called for the prison’s expansion. ",politicsNews,"July 7, 2016 "
3698,Democratic attorneys general seek to intervene in Obamacare case,"SAN FRANCISCO/WASHINGTON (Reuters) - More than a dozen Democratic attorneys general on Thursday sought to intervene to defend a key part of the Obamacare healthcare law - subsidy payments to insurance companies - which is under threat in a court case. The 16 attorneys general, led by California Attorney General Xavier Becerra and New York Attorney General Eric Schneiderman, filed a motion to intervene in the case pending in the U.S. Court of Appeals for the District of Columbia Circuit. The case, which dates back to the Obama administration, was filed by the Republican-led House of Representatives against the federal government in an effort to cut off subsidy payments to insurers for the individual plans created by the Affordable Care Act, often called Obamacare. The subsidies payments help cover out-of-pocket medical expenses for low-income Americans. “The stakes are very high. In Maryland we have more than 400,000 people who depend on the Affordable Care Act to get normal healthcare. It sounds alarming, but it’s true: lives are at stake,” said Maryland Attorney General Brian Frosh, who signed on to the filing. Trump has repeatedly threatened to withhold the payments to insurers, which amount to about $7 billion this year, and referred to them as a “bailout.”  The attorneys general cited in the court filing Trump’s own words vowing to let Obamacare “explode” as part of the reasoning for their intervention. Trump has made it clear he views decisions on health insurance for millions of Americans “as little more than political bargaining chips,” the court filing said. The situation is extremely urgent, the Democratic officials argued, because state insurance regulators are making critical choices that will shape their insurance markets for the next year. Several insurers, including Aetna (AET.N) and Humana (HUM.N), have largely left the Obamacare exchanges, citing a pool of patients who are sicker than expected and therefore more expensive. Insurers have also repeatedly called on the Trump administration to fund the cost-sharing subsidies.  Attorneys general and proponents of Obamacare have said the threats to withhold the payments have already wreaked havoc in the marketplaces and are part of the reason some healthcare consumers have seen double-digit rate increases.  Democratic attorneys general have emerged as significant opponents to the Trump administration. They took a lead role to successfully block Trump’s executive orders restricting travel from some Muslim-majority countries, and they are also resisting efforts to roll back environmental regulations. The attorney general from Kentucky, a deeply conservative state, is among those Democrats joining the court filing even as the state’s Republican governor has pledged to rollback a Medicaid expansion made possible by Obamacare.  In May 2016, a U.S. judge ruled in favor of the Republicans in the subsidies case, finding that the Obama administration needed explicit congressional approval. The Obama administration appealed before Trump took office, leaving the new administration to ponder how to proceed. The appeals court put the litigation on hold after the November presidential election at the request of the Republican House lawmakers.  The motion to intervene may not be granted by the court. In February, the same court rejected a similar motion filed by Democratic attorneys general seeking to help defend the Consumer Financial Protection Bureau in a legal battle that could defang the agency. The litigation could become moot if Congress passes new healthcare legislation to replace Obamacare. The House passed a bill, called the American Health Care Act, earlier this month. The Senate recently began writing its own version of the bill but has warned it could take months to pass.  The Trump administration has taken action over the past several months to undercut Obamacare through regulatory authority. It backed off enforcing the individual mandate, which requires everyone to purchase health insurance or else pay a penalty, tightened enrollment in Obamacare markets and has enabled people to sign up for insurance plans outside of healthcare.gov, the flagship site of Obamacare that the Obama administration heavily advertised.  ",politicsNews,"May 18, 2017 "
